# 横轴数据,元数据,平滑后数据,基线,扣除基线后数据
1.449059000000000026e+02,4.974089000000000027e+01,5.027753167047976746e+01,5.065277299380677078e+01,-3.752413233270033288e-01
1.468343000000000131e+02,4.974627999999999872e+01,5.015452925792666150e+01,5.056436229485233014e+01,-4.098330369256686367e-01
1.487627999999999986e+02,5.044469000000000136e+01,4.999669151029671355e+01,5.048007993067523103e+01,-4.833884203785174805e-01
1.506913000000000125e+02,5.075330999999999904e+01,4.996188293559909965e+01,5.040067142381460741e+01,-4.387884882155077548e-01
1.526196999999999946e+02,4.989043000000000205e+01,4.991855581889429061e+01,5.032568403920645039e+01,-4.071282203121597831e-01
1.545482000000000085e+02,4.947558999999999685e+01,4.987630321346768625e+01,5.025479674621261950e+01,-3.784935327449332476e-01
1.564766999999999939e+02,5.017231999999999914e+01,4.988053702517085952e+01,5.018771949773362451e+01,-3.071824725627649855e-01
1.584051000000000045e+02,5.020629999999999882e+01,4.987917618829606425e+01,5.012373129966037766e+01,-2.445551113643134045e-01
1.603335999999999899e+02,4.967132000000000147e+01,4.988991968944022659e+01,5.006220018795534088e+01,-1.722804985151142887e-01
1.622621000000000038e+02,4.941841999999999757e+01,4.987523328865565730e+01,5.000239826420509104e+01,-1.271649755494337342e-01
1.641904999999999859e+02,4.938880999999999943e+01,4.976525047401035096e+01,4.994387191487370359e+01,-1.786214408633526318e-01
1.661189999999999998e+02,5.033771000000000129e+01,4.970161048708651919e+01,4.988713862031740831e+01,-1.855281332308891251e-01
1.680475000000000136e+02,5.002660000000000196e+01,4.962767814318328163e+01,4.983226796133050840e+01,-2.045898181472267652e-01
1.699758999999999958e+02,4.919731999999999772e+01,4.957238924811953495e+01,4.977945196108831283e+01,-2.070627129687778734e-01
1.719044000000000096e+02,4.990532999999999930e+01,4.962097661980963181e+01,4.972871566245825647e+01,-1.077390426486246611e-01
1.738328999999999951e+02,4.943343000000000131e+01,4.958765312520355906e+01,4.967906006781901596e+01,-9.140694261545689869e-02
1.757613000000000056e+02,4.944727000000000317e+01,4.948183755148665597e+01,4.963032123359096204e+01,-1.484836821043060695e-01
1.776897999999999911e+02,4.946734000000000009e+01,4.949380508989790428e+01,4.958307295922951141e+01,-8.926786933160713033e-02
1.796183000000000050e+02,4.933955999999999875e+01,4.962302002288252822e+01,4.953672018283891987e+01,8.629984004360835570e-02
1.815466999999999871e+02,4.936610000000000298e+01,4.964340974174491095e+01,4.948950366630227649e+01,1.539060754426344602e-01
1.834752000000000010e+02,5.001017999999999830e+01,4.956362043478185342e+01,4.944074795296609182e+01,1.228724818157616028e-01
1.854036999999999864e+02,4.945555999999999841e+01,4.956206645308849090e+01,4.939076263845760195e+01,1.713038146308889509e-01
1.873320999999999970e+02,4.943836999999999904e+01,4.965458270676615626e+01,4.933906384773484888e+01,3.155188590313073860e-01
1.892606000000000108e+02,5.003287000000000262e+01,4.966196527950234696e+01,4.928736505701210291e+01,3.746002224902440503e-01
1.911890999999999963e+02,4.929149000000000314e+01,4.969210225890737576e+01,4.923566626628934984e+01,4.564359926180259208e-01
1.931175000000000068e+02,4.980254999999999654e+01,4.960983404053536105e+01,4.918396747556659676e+01,4.258665649687642940e-01
1.950459999999999923e+02,5.065738000000000341e+01,4.960576136645886436e+01,4.913226868484384369e+01,4.734926816150206719e-01
1.969745000000000061e+02,5.010356999999999772e+01,4.973862607714863060e+01,4.908056989412109061e+01,6.580561830275399871e-01
1.989028999999999883e+02,4.858142000000000138e+01,4.985128867603715719e+01,4.902887110339833754e+01,8.224175726388196495e-01
2.008314000000000021e+02,4.936637000000000342e+01,4.986734320366055329e+01,4.897717231267558446e+01,8.901708909849688212e-01
2.027598999999999876e+02,5.062326000000000192e+01,4.989635419091129620e+01,4.892547352195282429e+01,9.708806689584719152e-01
2.046882999999999981e+02,4.959494000000000113e+01,4.999285081399074215e+01,4.887377473123007121e+01,1.119076082760670943e+00
2.066168000000000120e+02,4.920103999999999900e+01,5.005485919908389292e+01,4.882207594050731814e+01,1.232783258576574781e+00
2.085452999999999975e+02,5.038645999999999958e+01,5.009521645962655612e+01,4.877037714978457927e+01,1.324839309841976842e+00
2.104737000000000080e+02,4.932135000000000247e+01,5.014859800915255050e+01,4.871867835906184041e+01,1.429919650090710093e+00
2.124021999999999935e+02,5.198485999999999763e+01,5.009737478914600928e+01,4.866697956833910155e+01,1.430395220806907730e+00
2.143307000000000073e+02,5.128294000000000352e+01,5.008429176528200344e+01,4.861528077761635558e+01,1.469010987665647860e+00
2.162590999999999894e+02,4.948526999999999987e+01,5.017357591369651004e+01,4.856358198689361672e+01,1.609993926802893327e+00
2.181876000000000033e+02,4.941114999999999924e+01,5.023172758744610178e+01,4.851188319617087785e+01,1.719844391275223927e+00
2.201160999999999888e+02,5.043531000000000120e+01,5.009142677345460726e+01,4.846018440544813899e+01,1.631242368006468269e+00
2.220444999999999993e+02,5.023489000000000004e+01,5.000758864988480923e+01,4.840848561472540723e+01,1.599103035159401998e+00
2.239730000000000132e+02,4.989815999999999718e+01,5.004583818241178506e+01,4.835678682400266126e+01,1.689051358409123793e+00
2.259014999999999986e+02,4.964616000000000184e+01,5.005179881987500323e+01,4.830508803327992240e+01,1.746710786595080833e+00
2.278299000000000092e+02,4.952550999999999704e+01,5.004158744687730120e+01,4.825338924255719064e+01,1.788198204320110563e+00
2.297583999999999946e+02,4.968211000000000155e+01,5.006197481202930533e+01,4.820169045183445888e+01,1.860284360194846442e+00
2.316869000000000085e+02,5.026852000000000231e+01,4.985285046747226545e+01,4.814999166111172002e+01,1.702858806360545429e+00
2.336152999999999906e+02,5.017056999999999789e+01,4.985829623079361284e+01,4.809829287038897405e+01,1.760003360404638784e+00
2.355438000000000045e+02,4.971067000000000036e+01,4.991215233409534591e+01,4.804659407966622808e+01,1.865558254429117824e+00
2.374722999999999900e+02,4.966320000000000334e+01,4.984208498855758762e+01,4.799489528894348211e+01,1.847189699614105507e+00
2.394007000000000005e+02,5.070250999999999664e+01,4.974026467799858153e+01,4.794319649822073615e+01,1.797068179777845387e+00
2.413291999999999859e+02,5.048489000000000004e+01,4.984007709382073870e+01,4.789149770749798307e+01,1.948579386322755624e+00
2.432576999999999998e+02,5.013799000000000206e+01,4.993390196142453874e+01,4.783979891677523710e+01,2.094103044649301637e+00
2.451861000000000104e+02,4.945145000000000124e+01,4.991162691075437863e+01,4.778810012605248403e+01,2.123526784701894599e+00
2.471145999999999958e+02,4.845597999999999672e+01,4.978441821510220677e+01,4.773640133532973095e+01,2.048016879772475818e+00
2.490431000000000097e+02,4.836336000000000013e+01,4.964647029094399500e+01,4.768470254460697788e+01,1.961767746337017115e+00
2.509714999999999918e+02,5.008071999999999946e+01,4.950942476626273248e+01,4.763300375388422481e+01,1.876421012378507669e+00
2.529000000000000057e+02,5.022816999999999865e+01,4.941020831971157179e+01,4.758130496316146463e+01,1.828903356550107162e+00
2.548284999999999911e+02,4.974486999999999881e+01,4.929008761032942232e+01,4.752960617243871155e+01,1.760481437890710765e+00
2.567568999999999733e+02,4.993802999999999770e+01,4.911588486760303596e+01,4.747790738171595137e+01,1.637977485887084583e+00
2.586854000000000156e+02,5.025253000000000014e+01,4.896195524681192524e+01,4.742620859099320541e+01,1.535746655818719830e+00
2.606139000000000010e+02,4.826308000000000220e+01,4.899905521739054848e+01,4.737450980027044523e+01,1.624545417120103252e+00
2.625423000000000116e+02,4.754552000000000334e+01,4.896715239947619125e+01,4.732281100954768505e+01,1.644341389928506203e+00
2.644707999999999970e+02,4.817134000000000071e+01,4.894244932984560137e+01,4.727111221882492487e+01,1.671337111020676502e+00
2.663992999999999824e+02,4.901265999999999678e+01,4.899836772474590418e+01,4.721941342810217179e+01,1.778954296643732391e+00
2.683276999999999930e+02,4.877985999999999933e+01,4.891665806145724105e+01,4.716771463737942582e+01,1.748943424077815223e+00
2.702561999999999784e+02,4.861287000000000091e+01,4.868301379862625566e+01,4.711601584665666564e+01,1.566997951969590019e+00
2.721847000000000207e+02,4.853517999999999688e+01,4.850676023863933750e+01,4.706431705593391257e+01,1.442443182705424931e+00
2.741130999999999744e+02,4.881732000000000227e+01,4.842930618829608136e+01,4.701261826521115950e+01,1.416687923084921863e+00
2.760416000000000167e+02,4.930100999999999800e+01,4.841588075514799527e+01,4.696091947448841353e+01,1.454961280659581746e+00
2.779701000000000022e+02,4.915881000000000256e+01,4.835191074534087363e+01,4.690922068376566045e+01,1.442690061575213178e+00
2.798985000000000127e+02,4.762910000000000110e+01,4.833506915331733467e+01,4.685752189304291448e+01,1.477547260274420182e+00
2.818269999999999982e+02,4.860096000000000060e+01,4.817486413860664385e+01,4.680582310232016141e+01,1.369041036286482438e+00
2.837554999999999836e+02,4.857428000000000168e+01,4.798028766917219912e+01,4.675412431159740834e+01,1.226163357574790780e+00
2.856838999999999942e+02,4.654802999999999713e+01,4.784662644328138725e+01,4.670242552087465526e+01,1.144200922406731991e+00
2.876123999999999796e+02,4.643144000000000204e+01,4.771252225890741272e+01,4.665072673015190219e+01,1.061795528755510531e+00
2.895409000000000219e+02,4.746356000000000108e+01,4.751179295194434360e+01,4.659902793942914911e+01,9.127650125151944849e-01
2.914692999999999756e+02,4.830196000000000112e+01,4.724220717227780142e+01,4.654732914870639604e+01,6.948780235714053788e-01
2.933978000000000179e+02,4.753905999999999921e+01,4.698659593984889682e+01,4.649563035798363586e+01,4.909655818652609582e-01
2.953263000000000034e+02,4.615946999999999889e+01,4.684854335076750687e+01,4.644393156726086858e+01,4.046117835066382895e-01
2.972547000000000139e+02,4.698709000000000202e+01,4.684652347499110903e+01,4.639223277653810129e+01,4.542906984530077352e-01
2.991831999999999994e+02,4.706266000000000105e+01,4.675848757436999392e+01,4.634053398581534822e+01,4.179535885546457052e-01
3.011116999999999848e+02,4.725332000000000221e+01,4.658493668192148363e+01,4.628883519509258804e+01,2.961014868288955881e-01
3.030400999999999954e+02,4.650164000000000186e+01,4.653963149068250971e+01,4.623713640436982075e+01,3.024950863126889544e-01
3.049685999999999808e+02,4.537252999999999759e+01,4.648767069957430920e+01,4.618543761364706768e+01,3.022330859272415182e-01
3.068971000000000231e+02,4.554350999999999772e+01,4.618843748937490545e+01,4.613373882292430750e+01,5.469866645059795474e-02
3.088254999999999768e+02,4.598920999999999992e+01,4.599099033344159437e+01,4.608149224338168182e+01,-9.050190994008744383e-02
3.107540000000000191e+02,4.687496999999999758e+01,4.593187721150631830e+01,4.603015365518785273e+01,-9.827644368153443111e-02
3.126825000000000045e+02,4.696609000000000123e+01,4.597168678653083873e+01,4.597980098080601863e+01,-8.114194275179897886e-03
3.146109000000000151e+02,4.588499000000000194e+01,4.593888501470998165e+01,4.592952959254248668e+01,9.355422167494964469e-03
3.165394000000000005e+02,4.447961000000000098e+01,4.574072534161420123e+01,4.587916452091034358e+01,-1.384391792961423562e-01
3.184678999999999860e+02,4.575222999999999729e+01,4.561734266753770584e+01,4.583018841603721683e+01,-2.128457484995109894e-01
3.203962999999999965e+02,4.566973000000000127e+01,4.556647403399733776e+01,4.578334975076661095e+01,-2.168757167692731969e-01
3.223247999999999820e+02,4.492553999999999803e+01,4.562979897678910390e+01,4.573868887444663756e+01,-1.088898976575336519e-01
3.242533000000000243e+02,4.533764000000000038e+01,4.570731370382407732e+01,4.569511968025045690e+01,1.219402357362042721e-02
3.261816999999999780e+02,4.725267000000000195e+01,4.567127450800845168e+01,4.565142845097088298e+01,1.984605703756869843e-02
3.281102000000000203e+02,4.589618999999999716e+01,4.552096191238896949e+01,4.560753864384568601e+01,-8.657673145671651582e-02
3.300387000000000057e+02,4.486675000000000324e+01,4.534787609676295972e+01,4.556451633774254617e+01,-2.166402409795864514e-01
3.319671000000000163e+02,4.438316999999999979e+01,4.522496791108135739e+01,4.552366856737712908e+01,-2.987006562957716937e-01
3.338956000000000017e+02,4.483062999999999931e+01,4.512294804184304553e+01,4.548582227502633657e+01,-3.628742331832910395e-01
3.358240999999999872e+02,4.590655999999999892e+01,4.501699385093098726e+01,4.545162538238218985e+01,-4.346315314512025907e-01
3.377524999999999977e+02,4.607759000000000071e+01,4.496175094802153893e+01,4.542180372400844846e+01,-4.600527759869095235e-01
3.396809999999999832e+02,4.574166000000000309e+01,4.506840107878322499e+01,4.539661466566231240e+01,-3.282135868790874156e-01
3.416095000000000255e+02,4.476326999999999856e+01,4.506922185681526116e+01,4.537472445549271072e+01,-3.055025986774495550e-01
3.435378999999999792e+02,4.371479000000000070e+01,4.501824037593915762e+01,4.535590377006757734e+01,-3.376633941284197249e-01
3.454664000000000215e+02,4.339992999999999768e+01,4.506511288329450338e+01,4.534047718284260498e+01,-2.753642995481015987e-01
3.473949000000000069e+02,4.442504000000000275e+01,4.526645644655046397e+01,4.532781602860808334e+01,-6.135958205761937734e-02
3.493233000000000175e+02,4.505657000000000068e+01,4.526926193527226872e+01,4.531576925535003397e+01,-4.650732007776525734e-02
3.512518000000000029e+02,4.580935999999999808e+01,4.527368338672699366e+01,4.530418804919403897e+01,-3.050466246704530704e-02
3.531802999999999884e+02,4.687196999999999747e+01,4.522749296828959586e+01,4.529291214362518048e+01,-6.541917533558461173e-02
3.551086999999999989e+02,4.720056000000000296e+01,4.515011403726639116e+01,4.528229129114132689e+01,-1.321772538749357295e-01
3.570371999999999844e+02,4.548919999999999675e+01,4.516668677672372212e+01,4.527299518407586731e+01,-1.063084073521451955e-01
3.589657000000000266e+02,4.413848000000000127e+01,4.534065776070541176e+01,4.526476417459083024e+01,7.589358611458152382e-02
3.608940999999999804e+02,4.543621999999999872e+01,4.542390828702120587e+01,4.525653316510578605e+01,1.673751219154198111e-01
3.628226000000000226e+02,4.545933999999999742e+01,4.542093048708658642e+01,4.524830215562074187e+01,1.726283314658445533e-01
3.647511000000000081e+02,4.419758999999999816e+01,4.531510146779923787e+01,4.524007114613569769e+01,7.503032166354017818e-02
3.666795000000000186e+02,4.389376000000000033e+01,4.510816722785154553e+01,4.523184013665064640e+01,-1.236729087991008669e-01
3.686080000000000041e+02,4.581029999999999802e+01,4.489873300424905977e+01,4.522484851977255715e+01,-3.261155155234973790e-01
3.705364999999999895e+02,4.502308000000000021e+01,4.480227939195746956e+01,4.522113430908868992e+01,-4.188549171312203612e-01
3.724649000000000001e+02,4.492656000000000205e+01,4.481992662307874298e+01,4.522163498159224559e+01,-4.017083585135026169e-01
3.743933999999999855e+02,4.559732999999999947e+01,4.489865094802154033e+01,4.522617706878699551e+01,-3.275261207654551754e-01
3.763219000000000278e+02,4.568565000000000254e+01,4.501365082706698217e+01,4.523401090077186382e+01,-2.203600737048816427e-01
3.782502999999999815e+02,4.390625000000000000e+01,4.511261656423598509e+01,4.524405616344583336e+01,-1.314395992098482679e-01
3.801788000000000238e+02,4.488654999999999973e+01,4.520917577966585554e+01,4.525541889147976349e+01,-4.624311181390794445e-02
3.821073000000000093e+02,4.519521000000000299e+01,4.547327007845630931e+01,4.526724459422705138e+01,2.060254842292579269e-01
3.840357000000000198e+02,4.525160999999999945e+01,4.567037410918530327e+01,4.527907029697433217e+01,3.913038122109711026e-01
3.859642000000000053e+02,4.576182000000000016e+01,4.573102759071521461e+01,4.529089599972161295e+01,4.401315909936016624e-01
3.878926999999999907e+02,4.665267999999999660e+01,4.579639533180707645e+01,4.530272170246888663e+01,4.936736293381898122e-01
3.898211000000000013e+02,4.588866999999999763e+01,4.592839731284662719e+01,4.531454740521616742e+01,6.138499076304597679e-01
3.917495999999999867e+02,4.517032999999999987e+01,4.592482955867859573e+01,4.532637310796344110e+01,5.984564507151546309e-01
3.936780999999999722e+02,4.595911000000000257e+01,4.587846242235954719e+01,4.533819881071071478e+01,5.402636116488324092e-01
3.956064999999999827e+02,4.719702999999999804e+01,4.585901284406597966e+01,4.535002451345799557e+01,5.089883306079840963e-01
3.975350000000000250e+02,4.704026000000000352e+01,4.584586734553705156e+01,4.536185021620526925e+01,4.840171293317823142e-01
3.994635000000000105e+02,4.598398999999999859e+01,4.571652759725330384e+01,4.537367591895253582e+01,3.428516783007680147e-01
4.013919000000000210e+02,4.457645999999999731e+01,4.565314056554359468e+01,4.538550162169980240e+01,2.676389438437922763e-01
4.033204000000000065e+02,4.528990999999999900e+01,4.561420883295124185e+01,4.539732732444707608e+01,2.168815085041657653e-01
4.052488999999999919e+02,4.563429000000000002e+01,4.555632172932261170e+01,4.540915302719434266e+01,1.471687021282690466e-01
4.071773000000000025e+02,4.435219000000000023e+01,4.549800263811633272e+01,4.542097872994160923e+01,7.702390817472348772e-02
4.091057999999999879e+02,4.454554000000000258e+01,4.548625271657333968e+01,4.543280443268888291e+01,5.344828388445677092e-02
4.110342999999999734e+02,4.536164000000000129e+01,4.541793954560244373e+01,4.544409554323886624e+01,-2.615599763642251219e-02
4.129626999999999839e+02,4.563092999999999932e+01,4.528051663942395066e+01,4.545564855992047626e+01,-1.751319204965255949e-01
4.148912000000000262e+02,4.595638999999999896e+01,4.519499605753444627e+01,4.546895888804348829e+01,-2.739628305090420213e-01
4.168197000000000116e+02,4.630122999999999678e+01,4.524836473357236599e+01,4.548502208306930328e+01,-2.366573494969372859e-01
4.187481000000000222e+02,4.605284000000000333e+01,4.542413057208168681e+01,4.550346214612930851e+01,-7.933157404762170017e-02
4.206766000000000076e+02,4.562962999999999880e+01,4.569683535795941509e+01,4.552269727232452823e+01,1.741380856348868633e-01
4.226050999999999931e+02,4.516333000000000197e+01,4.570227472703427196e+01,4.554193239851975505e+01,1.603423285145169075e-01
4.245335000000000036e+02,4.497151000000000209e+01,4.579068155606337598e+01,4.556116752471498899e+01,2.295140313483869932e-01
4.264619999999999891e+02,4.511401999999999646e+01,4.588903495586723125e+01,4.558040265091022292e+01,3.086323049570083299e-01
4.283904999999999745e+02,4.546878999999999849e+01,4.584314369401694478e+01,4.559963777710547106e+01,2.435059169114737188e-01
4.303188999999999851e+02,4.583156000000000319e+01,4.580749192546513626e+01,4.561887290330071210e+01,1.886190221644241660e-01
4.322474000000000274e+02,4.624945000000000306e+01,4.581281754494862213e+01,4.563810802949595313e+01,1.747095154526689953e-01
4.341759000000000128e+02,4.668751999999999924e+01,4.579520025498459290e+01,4.565734315569119417e+01,1.378570992933987327e-01
4.361043000000000234e+02,4.700515000000000043e+01,4.575491606080348106e+01,4.567657828188642810e+01,7.833777891705295815e-02
4.380328000000000088e+02,4.633310999999999780e+01,4.576409898659622399e+01,4.569502978552429084e+01,6.906920107193315062e-02
4.399612999999999943e+02,4.419709999999999894e+01,4.583727513566454803e+01,4.571279027623629787e+01,1.244848594282501608e-01
4.418897000000000048e+02,4.615368000000000137e+01,4.593712439032292849e+01,4.573055076694830490e+01,2.065736233746235939e-01
4.438181999999999903e+02,4.551321999999999690e+01,4.598545323635103443e+01,4.574831125766030482e+01,2.371419786907296157e-01
4.457466999999999757e+02,4.561509000000000214e+01,4.597381485779595778e+01,4.576607174837230474e+01,2.077431094236530384e-01
4.476750999999999863e+02,4.612521000000000271e+01,4.593575142530168165e+01,4.578383223908431177e+01,1.519191862173698837e-01
4.496035999999999717e+02,4.567549999999999955e+01,4.589923171624643317e+01,4.580159272979631169e+01,9.763898645012147881e-02
4.515321000000000140e+02,4.545756999999999692e+01,4.587100184700811667e+01,4.581837669826928305e+01,5.262514873883361588e-02
4.534605000000000246e+02,4.586222000000000065e+01,4.586954560967566152e+01,4.583463401493307998e+01,3.491159474258154205e-02
4.553890000000000100e+02,4.675289000000000073e+01,4.596135899967238458e+01,4.585054185929870840e+01,1.108171403736761818e-01
4.573174999999999955e+02,4.708460999999999785e+01,4.617512752533437492e+01,4.586644970366433682e+01,3.086778216700380995e-01
4.592459000000000060e+02,4.656860000000000355e+01,4.641967708401367076e+01,4.588235754802996524e+01,5.373195359837055207e-01
4.611743999999999915e+02,4.593851000000000084e+01,4.648259335403655257e+01,4.589826539239558656e+01,5.843279616409660093e-01
4.631028999999999769e+02,4.597283999999999793e+01,4.660376047401040012e+01,4.591417323676121498e+01,6.895872372491851365e-01
4.650312999999999874e+02,4.628871000000000180e+01,4.673358745668447511e+01,4.593008108112684340e+01,8.035063755576317135e-01
4.669597999999999729e+02,4.654330999999999818e+01,4.678347384439287282e+01,4.594598892549247182e+01,8.374849189004009986e-01
4.688883000000000152e+02,4.680042999999999864e+01,4.688823639751480954e+01,4.596189676985810024e+01,9.263396276567092968e-01
4.708167000000000257e+02,4.724763000000000090e+01,4.699875366132651067e+01,4.597780461422372866e+01,1.020949047102782004e+00
4.727452000000000112e+02,4.786768000000000001e+01,4.705871925465766026e+01,4.599371245858935708e+01,1.065006796068303174e+00
4.746736999999999966e+02,4.787346000000000146e+01,4.710188134030656926e+01,4.600962030295498550e+01,1.092261037351583752e+00
4.766021000000000072e+02,4.737487999999999744e+01,4.726435516181685870e+01,4.602552814732061393e+01,1.238827014496244772e+00
4.785305999999999926e+02,4.677720999999999663e+01,4.744220225563836379e+01,4.604143599168624235e+01,1.400766263952121449e+00
4.804590999999999781e+02,4.681087999999999738e+01,4.756289472049616762e+01,4.605734383605185656e+01,1.505550884444311066e+00
4.823874999999999886e+02,4.771511000000000280e+01,4.764100080091459688e+01,4.607325168041747787e+01,1.567749120497119009e+00
4.843159999999999741e+02,4.698008000000000095e+01,4.772721927427190280e+01,4.608915952478309919e+01,1.638059749488803618e+00
4.862445000000000164e+02,4.809778000000000020e+01,4.773790832951871721e+01,4.610506736914872050e+01,1.632840960369996708e+00
4.881729000000000269e+02,4.806636000000000308e+01,4.764557130761613735e+01,4.612097521351434892e+01,1.524596094101788424e+00
4.901014000000000124e+02,4.754489000000000232e+01,4.753363505720750481e+01,4.613688305787997024e+01,1.396751999327534577e+00
4.920298999999999978e+02,4.769912000000000063e+01,4.738955864007773044e+01,4.615279090224559155e+01,1.236767737832138891e+00
4.939583000000000084e+02,4.808429999999999893e+01,4.723678309578220791e+01,4.616869874661121287e+01,1.068084349170995040e+00
